sample	AMIKACIN	AMINOGLYCOSIDE	APRAMYCIN	AVILAMYCIN	BACITRACIN	BETA-LACTAM	CARBAPENEM	CEPHALOSPORIN	CHLORAMPHENICOL	DAPTOMYCIN	ERYTHROMYCIN	FLORFENICOL	FLUOROQUINOLONE	FOSFOMYCIN	GENTAMICIN	KANAMYCIN	LINCOSAMIDE	LINEZOLID	MACROLIDE	OXAZOLIDINONE	PLEUROMUTILIN	QUATERNARY AMMONIUM	QUINOLONE	RIFAMYCIN	SPECTINOMYCIN	STREPTOGRAMIN	STREPTOMYCIN	STREPTOTHRICIN	SULFONAMIDE	TETRACYCLINE	TIGECYCLINE	TOBRAMYCIN	TRIMETHOPRIM	VANCOMYCIN
10678_8#2	R	R	S	S	S	S	S	S	S	S	S	S	S	S	R	R	S	S	R	S	S	S	R	S	S	S	R	R	S	R	S	R	R	S
10678_8#3	R	R	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	R	S	S	S	R	S	S	S	R	R	S	R	S	S	S	S
10678_8#4	R	R	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	R	S	S	S	R	S	S	S	R	R	S	R	S	S	R	R
10678_8#7	R	R	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	R	S	S	S	R	S	S	S	R	S	S	S	S	S	R	R
10678_8#8	R	R	S	S	S	S	S	S	S	S	S	S	S	S	R	R	R	S	R	S	S	S	R	S	S	S	R	S	S	R	S	R	R	S
10678_8#9	R	R	S	S	S	S	S	S	S	S	S	S	S	S	R	R	S	S	R	S	R	S	R	S	S	S	R	R	S	S	S	R	R	R
10678_8#14	R	R	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	R	S	S	S	R	S	S	S	R	R	S	R	S	S	R	R
10678_8#17	R	R	S	S	S	S	S	S	S	R	S	S	S	S	S	R	S	S	R	S	S	S	R	S	S	S	R	R	S	R	S	S	R	R
10678_8#18	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	R	S	S	S	S	S	S	R	R	S	S	R	S	S	S	S
10678_8#19	R	R	S	S	S	S	S	S	S	R	S	S	S	S	R	R	S	S	R	S	S	S	R	S	S	S	R	R	S	R	S	R	R	R
10678_8#20	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
10678_8#21	R	R	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	R	S	S	S	R	S	S	S	R	R	S	R	S	S	R	R
