sample	acridine dye	aminocoumarin antibiotic	aminoglycoside antibiotic	carbapenem	cephalosporin	cephamycin	diaminopyrimidine antibiotic	disinfecting agents and intercalating dyes	elfamycin antibiotic	fluoroquinolone antibiotic	glycopeptide antibiotic	glycylcycline	isoniazid	lincosamide antibiotic	macrolide antibiotic	monobactam	nitrofuran antibiotic	nucleoside antibiotic	oxazolidinone antibiotic	penam	penem	peptide antibiotic	phenicol antibiotic	pleuromutilin antibiotic	rifamycin antibiotic	streptogramin antibiotic	sulfonamide antibiotic	tetracycline antibiotic	triclosan
10678_8#2	S	S	R	S	S	S	R	S	S	R	S	S	S	R	R	S	S	R	R	S	S	S	R	R	R	R	S	R	S
10678_8#3	S	S	R	S	S	S	S	S	S	R	S	S	S	R	R	S	S	R	R	S	S	S	R	R	R	R	S	R	S
10678_8#4	S	S	R	S	S	S	R	S	S	R	R	S	S	R	R	S	S	R	R	S	S	S	R	R	R	R	S	R	S
10678_8#7	S	S	R	S	S	S	R	S	S	R	R	S	S	R	R	S	S	S	S	S	S	S	S	S	R	R	S	S	S
10678_8#8	S	S	R	S	S	S	R	S	S	R	S	S	S	R	R	S	S	S	R	S	S	S	R	R	R	R	S	R	S
10678_8#9	S	S	R	S	S	S	R	S	S	R	R	S	S	R	R	S	S	R	R	S	S	S	R	R	R	R	S	R	S
10678_8#14	S	S	R	S	S	S	R	S	S	R	R	S	S	R	R	S	S	R	R	S	S	S	R	R	R	R	S	R	S
10678_8#17	S	S	R	S	S	S	R	S	S	R	R	S	S	R	R	S	S	R	R	S	S	R	R	R	R	R	S	R	S
10678_8#18	S	S	R	S	S	S	S	S	S	R	S	S	S	R	R	S	S	S	R	S	S	S	R	R	R	R	S	R	S
10678_8#19	S	S	R	S	S	S	R	S	S	R	R	S	S	R	R	S	S	R	R	S	S	R	R	R	R	R	S	R	S
10678_8#20	S	S	R	S	S	S	S	S	S	R	S	S	S	R	R	S	S	S	R	S	S	S	R	R	R	R	S	R	S
10678_8#21	S	S	R	S	S	S	R	S	S	R	R	S	S	R	R	S	S	R	R	S	S	S	R	R	R	R	S	R	S
10678_8#25	S	S	R	S	S	S	S	S	S	R	R	S	S	R	R	S	S	R	R	S	S	S	R	R	R	R	S	R	S
10678_8#27	S	S	R	S	S	S	R	S	S	R	S	S	S	R	R	S	S	S	R	S	S	S	R	R	R	R	S	R	S
10678_8#28	S	S	R	S	S	S	R	S	S	R	R	S	S	R	R	S	S	S	R	S	S	S	R	R	R	R	S	R	S
10678_8#29	S	S	R	S	S	S	R	S	S	R	S	S	S	R	R	S	S	S	S	S	S	S	S	S	R	R	S	S	S
10678_8#30	S	S	R	S	S	S	S	S	S	R	R	S	S	R	R	S	S	R	R	S	S	S	R	R	R	R	S	R	S
10678_8#32	S	S	R	S	S	S	R	S	S	R	R	S	S	R	R	S	S	S	R	S	S	S	R	R	R	R	S	R	S
10678_8#34	S	S	R	S	S	S	R	S	S	R	R	S	S	R	R	S	S	R	R	S	S	S	R	R	R	R	S	R	S
10678_8#35	S	S	R	S	S	S	R	S	S	R	R	S	S	R	R	S	S	S	R	S	S	S	R	R	R	R	S	R	S
10678_8#37	S	S	R	S	S	S	R	S	S	R	R	S	S	R	R	S	S	S	S	S	S	S	S	S	R	R	S	R	S
10678_8#39	S	S	R	S	S	S	R	S	S	R	S	S	S	R	R	S	S	S	R	S	S	R	R	R	R	R	S	R	S
10678_8#41	S	S	R	S	S	S	R	S	S	R	S	S	S	R	R	S	S	S	R	S	S	S	R	R	R	R	S	R	S
10678_8#43	S	S	R	S	S	S	R	S	S	R	R	S	S	R	R	S	S	R	S	S	S	S	S	S	R	R	S	R	S
10678_8#44	S	S	R	S	S	S	R	S	S	R	R	S	S	R	R	S	S	S	S	S	S	S	S	S	R	R	S	S	S
10678_8#45	S	S	R	S	S	S	R	S	S	R	R	S	S	R	R	S	S	R	R	S	S	S	R	R	R	R	S	R	S
10678_8#46	S	S	R	S	S	S	R	S	S	R	R	S	S	R	R	S	S	R	R	S	S	S	R	R	R	R	S	R	S
10678_8#48	S	S	R	S	S	S	R	S	S	R	R	S	S	R	R	S	S	R	R	S	S	S	R	R	R	R	S	R	S
10678_8#51	S	S	R	S	S	S	R	S	S	R	R	S	S	R	R	S	S	S	R	S	S	R	R	R	R	R	S	R	S
