sample	chloramphenicol	linezolid	tetracycline	fosfomycin	quinupristin+dalfopristin	teicoplanin	erythromycin	gentamicin	vancomycin	ampicillin	tigecycline	ciprofloxacin
10678_8#2	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10678_8#3	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10678_8#4	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#7	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#8	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10678_8#9	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#14	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#17	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#18	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	No resistance
10678_8#19	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#20	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	No resistance
10678_8#21	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#25	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#27	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10678_8#28	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#29	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10678_8#30	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#32	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#34	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#35	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#37	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#39	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10678_8#41	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10678_8#43	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#44	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#45	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#46	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#48	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#51	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#53	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10678_8#54	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#55	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#56	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#58	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#59	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#61	Resistant	Resistant	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10678_8#62	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#63	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#64	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#66	Resistant	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#67	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#68	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10678_8#70	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#71	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#74	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#75	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10678_8#76	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#78	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10678_8#81	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#82	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10678_8#83	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#84	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#85	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10678_8#86	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10678_8#87	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#88	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#92	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#93	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10678_8#94	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10678_8#95	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10678_8#96	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_7#79	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_7#88	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_7#89	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_7#91	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10702_7#93	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10702_7#94	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#1	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10702_8#4	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#5	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#6	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#7	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#8	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10702_8#9	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#10	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#11	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#12	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#13	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#14	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#15	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#16	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	No resistance
10702_8#19	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#20	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#21	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#22	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#23	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10702_8#25	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
